user_id,user_first_touch_timestamp,email,updated
UA000000107338110,1.59387E+15,blackburnjohn@gay.biz,2024-06-02T16:13:18.031+0000
UA000000107354520,1.59388E+15,reedjennifer@freeman.com,2024-06-02T16:13:18.031+0000
UA000000107359655,1.59388E+15,roberthubbard55@hotmail.com,2024-06-02T16:13:18.031+0000
UA000000107362264,1.59388E+15,amandafrazier@hotmail.com,2024-06-02T16:13:18.031+0000
UA000000107362440,1.59388E+15,laura65@garcia.biz,2024-06-02T16:13:18.031+0000
UA000000107363722,1.59388E+15,tmiller67@yahoo.com,2024-06-02T16:13:18.031+0000
UA000000107367850,1.59388E+15,xmartinez27@gmail.com,2024-06-02T16:13:18.031+0000
UA000000107370290,1.59388E+15,uflynn@anderson.com,2024-06-02T16:13:18.031+0000
UA000000107371743,1.59388E+15,nancyellis34@hotmail.com,2024-06-02T16:13:18.031+0000
UA000000107371836,1.59388E+15,nporter32@gmail.com,2024-06-02T16:13:18.031+0000
UA000000107372842,1.59388E+15,johnsontiffany9@yahoo.com,2024-06-02T16:13:18.031+0000
UA000000107373248,1.59388E+15,kyletaylor@hotmail.com,2024-06-02T16:13:18.031+0000
UA000000107374597,1.59388E+15,nalvarado76@gmail.com,2024-06-02T16:13:18.031+0000
UA000000107377002,1.59388E+15,bergergabriel@taylor.com,2024-06-02T16:13:18.031+0000
UA000000107377542,1.59388E+15,jonathandyer@hotmail.com,2024-06-02T16:13:18.031+0000
UA000000107377602,1.59388E+15,janetallen@moore-acosta.com,2024-06-02T16:13:18.031+0000
UA000000107378066,1.59388E+15,peterhodges@yahoo.com,2024-06-02T16:13:18.031+0000
UA000000107380134,1.59388E+15,ydavis47@hotmail.com,2024-06-02T16:13:18.031+0000
UA000000107381302,1.59388E+15,iguzman95@yahoo.com,2024-06-02T16:13:18.031+0000
UA000000107381817,1.59388E+15,ellislisa@thompson-chandler.org,2024-06-02T16:13:18.031+0000
UA000000107381951,1.59388E+15,eavila@baker-smith.com,2024-06-02T16:13:18.031+0000
UA000000107383420,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107383437,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107383471,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107383569,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107383640,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107383684,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384160,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384395,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384470,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384520,1.59388E+15,williamherrera@dudley-torres.org,2024-06-02T16:13:18.031+0000
UA000000107384520,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384572,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384587,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384593,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384617,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384764,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107384966,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385035,1.59388E+15,brett84@nguyen.com,2024-06-02T16:13:18.031+0000
UA000000107385035,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385074,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385075,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385167,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385277,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385360,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385374,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385379,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385467,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385498,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385525,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385538,1.59388E+15,,2024-06-02T16:13:18.031+0000
UA000000107385552,1.59388E+15,,2024-06-02T16:13:18.031+0000
